,FECHA,HORA DECLARADA,RUTA,OPERADOR,TIPO_AERONAVE,PERSONAS_ABORDO,PASAJEROS A BORDO,TRIPULACION_ABORDO,CANTIDAD DE FALLECIDOS,PASAJEROS_FALLECIDOS,TRIPULACION_FALLECIDA,DESCRIPCION_ACCIDENTE,DÉCADA,AÑO
22,1923-08-27,17:30:00,"East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,11,9,2,1,1.0,0.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",1920,1923
23,1925-09-03,05:30:00,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43,0,43,14,0.0,14.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.",1920,1925
24,1926-07-09,09:30:00,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,2,1,1,2,1.0,1.0,Crashed into the ground while descending in poor weather.,1920,1926
25,1926-10-02,15:27:00,"Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,7,5,2,7,5.0,2.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",1920,1926
26,1926-11-11,08:00:00,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3,3,0,3,3.0,0.0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",1920,1926
27,1927-08-22,08:30:00,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11,9,2,1,0.0,1.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",1920,1927
28,1927-09-17,04:05:00,Atlantic Ocean,Private,Fokker F7,3,1,2,3,1.0,2.0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",1920,1927
29,1929-03-17,17:00:00,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,15,13,2,14,13.0,1.0,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.,1920,1929
30,1929-04-21,11:45:00,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,3,3,6,3.0,3.0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",1920,1929
31,1929-06-13,08:00:00,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,5,1,4,2,1.0,1.0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".",1920,1929
32,1929-06-17,11:30:00,"Off Dungeness, England",Imperial Airways,Handley Page W-10,13,11,2,7,7.0,0.0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa.""",1920,1929
33,1929-06-29,21:00:00,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),5,4,1,5,4.0,1.0,The seaplane crashed into lake Constance while attempting to landing. The landing was hard and the plane broke in two and sank.,1920,1929
34,1929-09-03,11:01:00,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,5,3,8,5.0,3.0,"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco.""",1920,1929
35,1929-09-14,18:00:00,"Saint Catharines, Ontario",Skyways,Travel Air 6000,6,5,1,6,5.0,1.0,The aircraft went out of control and crashed for unknown reasons.,1920,1929
36,1929-10-26,18:00:00,"Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),7,5,2,7,5.0,2.0,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""",1920,1929
37,1929-11-04,07:00:00,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,3,1,4,3.0,1.0,The mail plane crashed in dense fog.,1920,1929
38,1929-11-06,10:10:00,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,8,4,4,7,3.0,4.0,"After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog.",1920,1929
39,1929-11-16,09:35:00,"Off Corsica, France",Air Union,Liore et Olivier 190,3,0,3,3,0.0,3.0,"While flying along the Corsican coast, the aircraft crashed into the Mediterranean in fog. No trace of the plane was ever found.",1920,1929
40,1931-01-08,22:40:00,"Melle, Belgium",Sabena,Fokker F-VII,2,0,2,2,0.0,2.0,"After deciding to return to his base because of fog, the pilot of the mail plane  lowered his altitude and struck the ground.",1930,1931
41,1931-03-21,13:00:00,"New South Wales, Australia",Australian National Airways,Avro 10,8,6,2,8,6.0,2.0,Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.,1930,1931
42,1931-03-31,10:45:00,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8,6,2,8,6.0,2.0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.",1930,1931
43,1931-05-05,23:30:00,"Burbank, California",Pacific Air Transport,Boeing 40,2,0,2,2,0.0,2.0,The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.,1930,1931
44,1931-05-24,22:30:00,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1,0,1,1,0.0,1.0,Crashed into a mountain and burned in poor visibility and icing conditions.,1930,1931
45,1931-06-07,09:00:00,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4,0,4,4,0.0,4.0,Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions.,1930,1931
46,1931-08-09,08:40:00,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6,4,2,6,4.0,2.0,Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.,1930,1931
47,1931-09-14,20:00:00,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1,0,1,1,0.0,1.0,Crashed in a severe rainstorm while attempting to land.,1930,1931
48,1931-09-16,04:00:00,"Oakland, California",Pacific Air Transport,Boeing 40,4,3,1,4,3.0,1.0,Crashed into San Francisco Bay shortly after taking off from Oakland airport.,1930,1931
49,1931-11-05,06:48:00,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5,4,1,5,4.0,1.0,Crashed  onto a golf course and burst into flames after circling the airport twice to land.,1930,1931
50,1931-11-26,22:30:00,"Pasco, Washington",Varney Air Lines,Boeing 40,1,0,1,1,0.0,1.0,Crashed in fog while attempting to land.,1930,1931
51,1931-12-06,05:45:00,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,7,3,4,5,2.0,3.0,"Take off  was made with the  emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne.  At the end of the field, the aircraft crashed into a dam.",1930,1931
52,1932-03-19,19:30:00,"Calimesa, California",American Airways,Fokker F-10A,7,5,2,7,5.0,2.0,The crew reduced altitude in foggy conditions to maintain visual contact with the ground. Crashed into an apple orchard after striking power lines. One survivor died the next day.,1930,1932
53,1932-05-30,12:00:00,"Portland, Oregon",Varney Air Lines,Boeing 40,2,0,2,1,0.0,1.0,Crashed in a river after the engine exploded.,1930,1932
54,1932-08-31,00:10:00,"Tubergen, Germany",A B Aerotransport,Junkers G-23,2,0,2,2,0.0,2.0,The crew radioed they had problems with engine 3. The crew lowered their altitude and attempted an emergency landing. In low visibility and at night they hit a chimney and crashed.,1930,1932
55,1932-09-17,06:00:00,"Selsdon Park, England",Air Union,Liore-et-Olivier 213,2,0,2,1,0.0,1.0,On approach to Croydon in fog and reduced visibility the plane crashed in a hotel parking lot.,1930,1932
56,1933-03-25,20:07:00,"Hayward, California",Varney Airlines,Lockheed Orion 9,3,2,1,3,2.0,1.0,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.",1930,1933
58,1933-04-23,07:40:00,"Near Castrovillari, Calabria, Italy",Air Orient,Cams 53-1,8,5,3,5,2.0,3.0,Crashed into a mountain after encountering a mountain wave..,1930,1933
59,1933-05-09,15:00:00,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,Latecoere 28-1,6,3,3,6,3.0,3.0,Crashed after being forced down to the ground by strong downdrafts.,1930,1933
60,1933-06-04,03:15:00,"Bowling Green, Virginia",Eastern Air Transport,Pitcairns PA-6,1,0,1,1,0.0,1.0,The mail plane had engine faiure and crashed into a ravine.,1930,1933
61,1933-06-11,17:00:00,"Glenview, Illinois",Palwaukee,Sikorsky S-38B (flying boat),9,7,2,9,7.0,2.0,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,",1930,1933
62,1933-07-18,15:40:00,Aegean Sea,Societa Anonima Aero Expresso Italiana,CMASA Wal (flying boat),6,2,4,6,2.0,4.0,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.,1930,1933
63,1933-08-29,01:00:00,"Quay, New Mexico",Trans Continental and Western Air,Ford 5-AT-B Tri Motor,5,3,2,5,3.0,2.0,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.,1930,1933
64,1933-10-10,21:00:00,"Chesterton, Indiana",United Air Lines,Boeing 247,10,7,3,10,7.0,3.0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation.",1930,1933
66,1933-11-09,22:35:00,"Portland, Oregon",United Air Lines,Boeing 247,10,7,3,4,3.0,1.0,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.,1930,1933
67,1933-12-11,16:00:00,"Hamburg, Germany",Deutsche Lufthansa,Focke-Wulf A-17,10,8,2,6,4.0,2.0,Crashed after striking an obstacle while landing in poor visibility and snow.,1930,1933
68,1934-01-15,18:15:00,"Corbigny, France",Air France,Dewoitine D-332,14,10,4,14,10.0,4.0,"The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named ""Emeraude.""",1930,1934
69,1934-02-23,14:15:00,"Near Salt Lake City, Utah",Boeing Aircraft Company,Boeing 247,8,5,3,8,5.0,3.0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain.",1930,1934
70,1934-05-31,05:00:00,"Croydon, England",Air France,Liore-et-Olivier 213,2,0,2,2,0.0,2.0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.,1930,1934
71,1934-06-09,17:00:00,"Mongaup Mountain, New York",American Airways,Curtiss Condor T-32,7,4,3,7,4.0,3.0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain.",1930,1934
72,1934-06-11,11:00:00,"Junin, Argentina",Panagra,Ford 5-AT-C Tri-Motor,10,7,3,6,3.0,3.0,"Crashed into Mar Chiquita Lagoon during a heavy rainstorm. The aircraft was named ""San Pedro.""",1930,1934
73,1934-06-23,06:00:00,"Burbank, California",Aerevias Centrales Air Service,Lockheed Orion,1,0,1,1,0.0,1.0,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.,1930,1934
74,1934-07-27,09:50:00,"Near Tuttlingen, Germany",Swissair,Curtiss AT-32C Condor,12,9,3,12,9.0,3.0,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of  oscillations in the wing.",1930,1934
75,1934-08-31,22:45:00,"Amazonia, Missouri",Rapid Air Transport,Stinson  SM-6000B,5,4,1,5,4.0,1.0,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.,1930,1934
76,1934-10-02,10:50:00,English Channel,Hillman's Airways,de havilland 89 Dragon Rapide,7,6,1,7,6.0,1.0,"While overflying The Channel, the pilot encountered poor weather conditions with light rain and fog. He decided to return but due to low visibility and while cruising VFR, he was unable to distinguish the water surface and eventually lost control of the aircraft that crashed into the sea some five km off Folkestone. The pilot""s lack of skill and knowledge in matters of navigation .",1930,1934
77,1934-11-15,23:42:00,"Amazonia, Montana",Rapid Air Transport,Stinson SM-6000-B,2,0,2,2,0.0,2.0,"While flying at night in marginal weather conditions, the pilot flew too close to the ground  hit trees and crashed in flames in a wooded area.  The pilot committed an error in judgment in turning too close to the ground in a fog bound area.",1930,1934
78,1934-12-08,05:30:00,"Columbia, Missouri",Braniff Airlines,Lockheed Vega 5C,1,0,1,1,0.0,1.0,The mail plane crashed to the ground from a low altitude. Icing.,1930,1934
79,1934-12-10,07:30:00,"Palma Soriano, Cuba",Cubana de Aviacion,Ford 4-AT-E Tri-motor,8,5,3,4,2.0,2.0,Crashed into a mountain in poor weater condtions and low visiblity while en route.,1930,1934
80,1934-12-20,03:33:00,"Rutbah Wells, Syria",KLM Royal Dutch Airlines,Douglas DC-2-115A,7,3,4,7,3.0,4.0,"While flying over the Iraqi Desert at night, the crew encountered poor weather conditions and decided to divert to Rutbah Wells. On approach, the aircraft impacted the ground and exploded.16 km from Rutbah Wells airfield. The aircraft was named ""Uiver"" (Dutch word for stork).",1930,1934
81,1934-12-22,02:52:00,"Sunbright, Tennessee",American Airlines,Lockheed Orion 9D,1,0,1,1,0.0,1.0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments.",1930,1934
82,1935-01-31,19:00:00,"Stettin, Germany",Deruluft,Junkers JU-52/3m,11,8,3,11,8.0,3.0,"Crashed full speed into a hill, 450 feet high in rain and fog. Icing.",1930,1935
83,1935-04-01,00:45:00,"Beauvais, France",Air France,Farman F-300,3,0,3,1,0.0,1.0,"Shortly after departure, the captain decided to return to Paris because of low visibility. The aircraft hit a tree and crashed in an open field. The chief pilot of Air France, Robert Bajac, 36, was killed. Blame was placed on the aircraft which was found to be unstable in flight.",1930,1935
84,1935-04-06,15:18:00,"Brilon, Germany",KLM Royal Dutch Airlines,Fokker F-12,7,2,5,7,2.0,5.0,"Crashed after the pilot tried to maintain visual contact with the ground in heavy fog and snow. The plane was named ""Leeuwerik."" The pilot was unable to distinguish the ground from the surroundings and to establish his real position to continue then flight in a safely manner.",1930,1935
85,1935-05-01,10:45:00,"Near Walsenberg, Colorado",Varney Air Lines,Lockheed Vega,1,0,1,1,0.0,1.0,"Crashed at Rattlesnake Butte after the plane lost engine power. James Montijo, 40, the man who taught Amelia Earhart to fly, killed. The accidental collision with the ground while doing low flying in violation of the Air Commerce Regulations.",1930,1935
86,1935-05-06,03:30:00,"Atlanta, Missouri",Trans Continental and Western Air,Douglas DC-2-112,14,12,2,5,3.0,2.0,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly.",1930,1935
87,1935-05-18,00:45:00,"Near Moscow, Russia",Gor'ky Eskadril'ya,Tupolev ANT-20 / I-5,50,37,13,50,37.0,13.0,"Midair collision with an I-5 fighter at 2,300 ft. The fighter was performing aerobatics trying to loop around the Tupolev. The plane crashed into a residental neighborhood and was on its maiden flight. The plane was nicknamed ""Maxim Gorky.""  Pilot error. Forty-nine killed on the Tupolev, one on the I-5",1930,1935
88,1935-05-18,18:35:00,"Flint, Michigan",Knowles Flying Service of Detroit,Ford model 4-AT-E,12,11,1,3,2.0,1.0,"While on a sightseeing trip, the plane ran out of fuel and crashed. Carelessness and negligence on the part of the pilot for not replenishing his fuel supply before it got dangerously low and poor judgment on his part for attempting to return to the airport when there was open terrain ahead of him. Many passengers did not use their seatbelts nor were they instructed in their use.",1930,1935
89,1935-05-27,16:00:00,"Glendo, Wyoming",Wyoming Air Service,Boeing 221,1,0,1,1,0.0,1.0,"While flying in poor weather conditions, the pilot decided to reduce his altitude to maintain a visual contact with the ground and crashed into a hill. The accidental collision with the ground while flying low due to severe local weather conditions.",1930,1935
90,1935-05-28,22:25:00,"Maywood, Illinois",Chicago and Southern Airlines,Stinson SM6000B Tri-motor,2,1,1,2,1.0,1.0,"Crashed into the ground on a farm  after the pilot made an abrupt turn to avoid trees, striking the wing on the ground. The unintentional collision with the ground while flying at too low altitude at night.",1930,1935
91,1935-06-24,14:36:00,"Medellin, Colombia",Servicio Aereo Columbiano / SCADTA,Ford Tri-Motor / Ford Tri-Motor,20,18,2,17,15.0,2.0,"A collision occurred between the two Ford Tri-Motors as one was barely off the ground and one was still on the ground at Olaya Herrera Airfield. The accident was officially attributed to wind sheer or the one aircraft being blown into the other aircraft as it took off. Rivalry among the two pilots may have played a part in the accident as one pilot had buzzed the other four days before the accident..  Actor, singer, Carlos Gardel, 44, and his lyricist Alfredo Le Pera, 35, among those killed.",1930,1935
92,1935-07-14,09:40:00,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,Fokker F-XXII,20,15,5,6,2.0,4.0,The plane lost altitude while attempting an emergency landing after taking off and losing two engines. The wing hit a dyke and the plane burst into flames.,1930,1935
93,1935-07-19,14:20:00,"Off Chandeleur Island, Mississippi",Wedell-Williams Air Service Corporation,General 102-E,2,1,1,2,1.0,1.0,The plane deviated from its course and flew 20 miles off shore and crashed.  Cause unknown.,1930,1935
94,1935-07-20,12:30:00,"Pian Giacomo, Switzerland",KLM Royal Dutch Airlines,Douglas DC-2,13,9,4,13,9.0,4.0,"Crashed into a mountain near St. Bernard Pass in Switzerland. Mountains obscured by clouds. The crew flew through the wrong valley which ended in a dead end. Icing condtions,.",1930,1935
95,1935-08-07,08:00:00,"Cairo, Egypt",Ala Littoria,Savoia-Marchetti S-66,7,3,4,7,3.0,4.0,"Ten minutes after taking off an explosion occurred aboard and the aircraft crashed in the dessert, 8 km south of the airport. The cause of the explosion was undetermined.",1930,1935
96,1935-08-14,23:45:00,"Near Gilmer, Texas",Delta Air Lines,Stinson Model A,4,3,1,4,3.0,1.0,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.,1930,1935
97,1935-08-15,20:18:00,"Walakpa, near Point Barrow, Alaska",Private,Lockheed Orion 9E Explorer float plane,2,1,1,2,1.0,1.0,"Dense fog caused the pilot to make a forced landing about 15 miles south of Point Barrow.  After some mechanical repairs, the plane took off, rose to about 50 feet and then crashed into shallow water. Loss of control of the aircraft at a low altitude after sudden engine failure due to the extreme nose-heaviness of the aircraft. Adventurer, Wiley Post, 37, and humorist, Will Rogers, 56, killed. Most experts believe that a combination of miscalculations in the design and operation of the heavily customized aircraft resulted in the uncontrollable spin that occurred right after takeoff.",1930,1935
98,1935-08-15,20:08:00,"Near Glendo, Wyoming",Aero Mayflower Transit Co,"Waco, model YLC",3,2,1,3,2.0,1.0,"The plane flew into a mountain 43 miles West of Glendo in heavy fog.  Against advice to the contrary, the pilot decided to fly a direct route to Denver rather than go around, following the valleys and airways used by other pilots. The direct route took him across some of the most dangerous flying country in the west.",1930,1935
99,1935-09-01,23:00:00,"Burbank, California",Western Air Express,Boeing 247,3,0,3,3,0.0,3.0,"A few minutes after take off from Burbank Airport, while climbing to a height of 1,000 feet in foggy conditions, the aircraft went out of control, stalled, hit power lines and crashed in flames in a field.",1930,1935
100,1935-09-13,09:00:00,"Near Tambo, Panama",Panama Airways,Ford Tri-Motor,8,7,1,8,7.0,1.0,Crashed and burned in mountainous terrain in  adverse weather conditions.,1930,1935
101,1935-10-02,09:55:00,"Off Finders Island, Victoria, Australia",Holyman Airways,de Havilland DH-86,5,3,2,5,3.0,2.0,Crashed in the Bass Strait. Went in to an uncontrollable spin following an engine failure.,1930,1935
102,1935-10-07,02:19:00,"Near Cheyenne, Wyoming",United Air Lines,Boeing 247D,12,9,3,12,9.0,3.0,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver.",1930,1935
103,1935-10-21,11:00:00,"Troy, New York",Chamberlin Flying Service,Curtiss AT-32C Condor,6,4,2,1,0.0,1.0,The plane lost the left engine shortly after taking off. The pilot tried to make an emergency landing but was caught in a downdraft and the plane crashed.,1930,1935
104,1935-10-30,19:40:00,"Cheyenne, Wyoming",United Air Lines,Boeing B-247-D,4,0,4,4,0.0,4.0,Crashed into a hill in poor weather conditions 5 miles south of Cheyenne. Test flight. Poor judgment by the pilot for executing an abrupt maneuver with insufficient altitude for safety and  failure of the pilot to maintain proper control of the aircraft during this maneuver.,1930,1935
105,1935-11-09,04:40:00,"Near Fort Worth, Texas",Braniff Airlines,Lockheed Vega,1,0,1,1,0.0,1.0,Plunged to the ground thirty minutes after leaving Fort Worth. Tried to return to Dallas airport due to inclement weather.,1930,1935
106,1935-12-10,16:45:00,"Croydon, England",Sabena,Savoia-Marchetti SM73,11,7,4,11,7.0,4.0,"While flying low, the aircraft hit tree tops, stalled and crashed in flames into a wooded area 13 km short of the runway, The pilot did not request bearings from the airport and tried to navigate on his own.",1930,1935
107,1935-12-31,19:15:00,"Off Alexandria, Egypt",Imperial Airways,Short S-8 Calcutta flying boat,13,9,4,12,9.0,1.0,"The aircraft ran out of fuel and crashed off Alexandria. The plane was named ""The City of Khartoum.""",1930,1935
108,1936-01-14,19:32:00,"Goodwin, Arkansas",American Airlines,Douglas DC-2-120,17,14,3,17,14.0,3.0,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls.",1930,1936
109,1936-01-21,10:00:00,"Off Ajaccio, Corsica, France",Air France,CAMS 53,6,3,3,6,3.0,3.0,Vanished off the coast of Corsica after sending a distress call that the engine had failed.,1930,1936
